;x1;x2;x3;u;f1;f2
33;0.830848485194405;0.8018932519372985;0.6329514615156512;-0.15774569414324865;0.0;0.0
34;0.4454975739192431;0.6689542488696937;0.5958167289327232;-0.25554110202683167;0.0;0.0
35;0.03545953580340666;0.530358773259977;0.5441842230609012;-0.35078322768961984;0.0;0.0
36;-0.3844965068866304;0.37706892370104195;0.4821015615932481;-0.44252044329485246;0.0;0.0
37;-0.8034029164226422;0.21567997875496203;0.3901743844634761;-0.5298361409084934;0.0;0.0
38;-1.185512533479192;0.04380778056629678;0.3356247068339144;-0.6118578909427193;0.0;0.0
39;-1.580156052069091;-0.10414595646865307;0.2722893763719429;-0.6877661591839741;0.0;0.0
40;-1.947521595488873;-0.2626949789738804;0.2025323552011118;-0.7568024953079282;0.0;0.0
41;-2.290421683392612;-0.4176240645738447;0.13767967424193073;-0.8182771110644108;0.0;0.0
42;-2.6188836210684308;-0.5698963118157253;0.06851780173197335;-0.8715757724135882;0.0;0.0
43;-2.9310971772730143;-0.7224272084580127;-0.0028537062409924735;-0.9161659367494549;0.0;0.0
44;-3.197644576457888;-0.8736105604976783;-0.07585616023826788;-0.951602073889516;0.0;0.0
45;-3.4309256403439057;-1.004948800922887;-0.14322941183039822;-0.977530117665097;0.0;0.0
46;-3.6236487039608147;-1.1294601959269461;-0.21919368090598798;-0.9936910036334645;0.0;0.0
47;-3.7740544137277228;-1.2572738888927144;-0.2951087803484235;-0.9999232575641008;0.0;0.0
48;-3.887543173100987;-1.3560999015554382;-0.35150838760153236;-0.9961646088358406;0.0;0.0
49;-3.9583901732807374;-1.446618309465734;-0.41070259187559427;-0.9824526126243325;0.0;0.0
50;-4.003223491968085;-1.4909936583084968;-0.45461406125987625;-0.9589242746631385;0.0;0.0
51;-4.014984641891909;-1.5333917063977989;-0.5093374885175566;-0.9258146823277321;0.0;0.0
52;-3.980005325355301;-1.5805543274660543;-0.5499929601677063;-0.8834546557201531;0.0;0.0
53;-3.9116754259601576;-1.6040762658922703;-0.6055167271298943;-0.8322674422239008;0.0;0.0
54;-3.8302877444643046;-1.618393556591896;-0.6499984382454597;-0.7727644875559871;0.0;0.0
55;-3.664556191756932;-1.6168920383291927;-0.6760821150800796;-0.7055403255703919;0.0;0.0
56;-3.4635886625062633;-1.5743467997427165;-0.706479854850619;-0.6312666378723208;0.0;0.0
57;-3.2655868485643937;-1.5276078088759975;-0.7207874872709007;-0.5506855425976376;0.0;0.0
58;-3.0026733825999075;-1.4755506580409035;-0.7460850267314788;-0.4646021794137566;0.0;0.0
59;-2.7281526752106022;-1.4109460696582787;-0.7475915295169974;-0.373876664830236;0.0;0.0
60;-2.399038844555915;-1.3327617854054628;-0.7560258059343874;-0.27941549819892586;0.0;0.0
61;-2.0588318222053714;-1.2182592554153602;-0.7495252001110397;-0.18216250427209502;0.0;0.0
62;-1.7011477457878892;-1.1041282759571338;-0.7301985239688892;-0.0830894028174964;0.0;0.0
63;-1.320866163997536;-0.9723755311361961;-0.6858761613625107;0.0168139004843506;0.0;0.0
64;-0.949076740832189;-0.853070088964542;-0.6342198403018362;0.11654920485049364;0.0;0.0
65;-0.5593299582756153;-0.7201593412956554;-0.594635362570294;0.21511998808781552;0.0;0.0
66;-0.16734981364720775;-0.59420134846683;-0.5525102225580267;0.3115413635133787;0.0;0.0
67;0.2367813692224639;-0.4316945934366564;-0.4948222688006613;0.4048499206165983;0.0;0.0
68;0.6586363600972085;-0.2627026215483655;-0.4313216256799619;0.49411335113860894;0.0;0.0
69;1.042750187369307;-0.1134934125083216;-0.3819336902794577;0.5784397643882001;0.0;0.0
70;1.429177293801629;0.047009538762548014;-0.3236450175305947;0.6569865987187891;0.0;0.0
71;1.8150145862482918;0.20527849166316553;-0.2578446564000694;0.7289690401258765;0.0;0.0
72;2.159751241087732;0.37733145241075594;-0.1950623608756043;0.7936678638491531;0.0;0.0
73;2.5019201745217248;0.5256080234658924;-0.12365712456443688;0.8504366206285648;0.0;0.0
74;2.7933012478740524;0.6754711542734846;-0.058727485148820785;0.8987080958116269;0.0;0.0
75;3.0641962646142984;0.8353468967712308;0.03034446880485904;0.9379999767747389;0.0;0.0
76;3.3029769944282616;0.9584756643187826;0.10841304965186607;0.9679196720314865;0.0;0.0
77;3.5009392407985755;1.0993543246318938;0.1906745196383154;0.9881682338770004;0.0;0.0
78;3.6659104349424374;1.2178846989003407;0.2633110065058454;0.998543345374605;0.0;0.0
79;3.8038089115987277;1.3287942429392219;0.33772804197028833;0.998941341839772;0.0;0.0
80;3.9018164697201807;1.4207343864055941;0.41560622578930095;0.9893582466233818;0.0;0.0
81;3.969370578935759;1.4688314651575534;0.47008881170752537;0.9698898108450863;0.0;0.0
82;4.003213841193401;1.5119886093545178;0.5300351026889798;0.9407305566797726;0.0;0.0
83;3.9851457822088427;1.5334193600225157;0.5611309425833587;0.9021718337562933;0.0;0.0
84;3.940040877903556;1.5730579625129808;0.6126074882734737;0.8545989080882804;0.0;0.0
85;3.858912210190681;1.6008664259789673;0.6373564457851862;0.7984871126234903;0.0;0.0
86;3.722781968872494;1.600644798597116;0.6658193734300389;0.7343970978741133;0.0;0.0
87;3.5532248309715877;1.5906912698132496;0.6888878008914248;0.662969230082182;0.0;0.0
88;3.355339087004086;1.5521813384709413;0.7058760920311059;0.5849171928917617;0.0;0.0
89;3.1213771010383313;1.516042237642711;0.7103784821462955;0.5010208564578846;0.0;0.0
90;2.8658620836973974;1.4716658444822865;0.7075408006745997;0.4121184852417566;0.0;0.0
91;2.550092747920211;1.3973388385261325;0.7158008763694906;0.3190983623493521;0.0;0.0
92;2.2306015441899167;1.309127626343021;0.6943088375350096;0.22288991410024592;0.0;0.0
93;1.8767240854329477;1.1975265108871822;0.6836546485773337;0.1244544235070617;0.0;0.0
94;1.499171056357264;1.0661090458211682;0.6597344968397787;0.024775425453357765;0.0;0.0
95;1.113251002582905;0.9400852537902319;0.6473571946008422;-0.0751511204618093;0.0;0.0
